"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R29,R28,R27,R26";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"4.7K";;;
2;"D2,D1";"D_SOD-323_HandSoldering";2;"D_Schottky_Small";;;
3;"U10";"TSSOP-14_4.4x5mm_P0.65mm";1;"SN74HCT125D";;;
4;"R25,R20,R24,R23,R22,R21,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";19;"10K";;;
5;"SW1";"SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm";1;"SW_DIP_x04";;;
6;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
7;"JTAG1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
8;"C29,C27,C25,C23,C22,C21,C19,C18,C13,C12,C10,C8,C6,C4,C9,C7,C5,C3,C2,C11,C16,C30,C17,C15,C14,C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";26;"0.1uf";;;
9;"X1";"Crystal_SMD_7050_4Pads";1;"OSC";;;
10;"C28";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
11;"U8";"SOT-223";1;"AP111733";;;
12;"C31,C26";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
13;"R2,R1,R5,R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10K";;;
14;"U1";"QFP50P2200X2200X165-145N";1;"10M08SCE144C8G";;;
15;"U5,U7,U3,U6,U4,U2";"TSSOP-24_4.4x7.8mm_P0.65mm";6;"74LVC4245APW";;;
16;"U9";"PLCC-68_THT-Socket-Electron-ULA";1;"ELECTRON_ULA_PGA_68";;;
17;"CMP1";"SOT-23-5";1;"MIC7221YM5-TR";;;
18;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uf";;;
19;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100";;;
